Index,Name,Coverage,Table,Distribution,Mean,Weight
66,AutoLiab 2 - All Other,AutoLiab,2 - All Other,8,8675819,0.000093
66,AutoLiab 2 - All Other,AutoLiab,2 - All Other,9,21423999,0.000044
66,AutoLiab 2 - All Other,AutoLiab,2 - All Other,10,100000000,0.000011
66,AutoLiab 2 - All Other,AutoLiab,2 - All Other,11,100000000,0
66,AutoLiab 2 - All Other,AutoLiab,2 - All Other,12,100000000,0
67,AutoLiab 3 - Light & Medium,AutoLiab,3 - Light & Medium,1,3124,0.760079
67,AutoLiab 3 - Light & Medium,AutoLiab,3 - Light & Medium,2,16123,0.174843
67,AutoLiab 3 - Light & Medium,AutoLiab,3 - Light & Medium,3,59094,0.046732
67,AutoLiab 3 - Light & Medium,AutoLiab,3 - Light & Medium,4,214131,0.004663
67,AutoLiab 3 - Light & Medium,AutoLiab,3 - Light & Medium,5,399736,0.009568
67,AutoLiab 3 - Light & Medium,AutoLiab,3 - Light & Medium,6,951884,0.00273
67,AutoLiab 3 - Light & Medium,AutoLiab,3 - Light & Medium,7,2060768,0.000841
67,AutoLiab 3 - Light & Medium,AutoLiab,3 - Light & Medium,8,3988193,0.000315
67,AutoLiab 3 - Light & Medium,AutoLiab,3 - Light & Medium,9,8171106,0.000154
67,AutoLiab 3 - Light & Medium,AutoLiab,3 - Light & Medium,10,21399245,0.00006
67,AutoLiab 3 - Light & Medium,AutoLiab,3 - Light & Medium,11,100000000,0.000015
67,AutoLiab 3 - Light & Medium,AutoLiab,3 - Light & Medium,12,100000000,0
68,AutoLiab 3 - Heavy,AutoLiab,3 - Heavy,1,3385,0.78743
68,AutoLiab 3 - Heavy,AutoLiab,3 - Heavy,2,19205,0.158827
68,AutoLiab 3 - Heavy,AutoLiab,3 - Heavy,3,85581,0.040287
68,AutoLiab 3 - Heavy,AutoLiab,3 - Heavy,4,507725,0.010681
68,AutoLiab 3 - Heavy,AutoLiab,3 - Heavy,5,1611489,0.002092
68,AutoLiab 3 - Heavy,AutoLiab,3 - Heavy,6,4553415,0.000486
68,AutoLiab 3 - Heavy,AutoLiab,3 - Heavy,7,10646432,0.000116
68,AutoLiab 3 - Heavy,AutoLiab,3 - Heavy,8,22691329,0.000061
68,AutoLiab 3 - Heavy,AutoLiab,3 - Heavy,9,100000000,0.00002
68,AutoLiab 3 - Heavy,AutoLiab,3 - Heavy,10,100000000,0
68,AutoLiab 3 - Heavy,AutoLiab,3 - Heavy,11,100000000,0
68,AutoLiab 3 - Heavy,AutoLiab,3 - Heavy,12,100000000,0
69,AutoLiab 3 - Extra Heavy,AutoLiab,3 - Extra Heavy,1,3649,0.693371
69,AutoLiab 3 - Extra Heavy,AutoLiab,3 - Extra Heavy,2,16470,0.21028
69,AutoLiab 3 - Extra Heavy,AutoLiab,3 - Extra Heavy,3,62447,0.064787
69,AutoLiab 3 - Extra Heavy,AutoLiab,3 - Extra Heavy,4,363050,0.024741
69,AutoLiab 3 - Extra Heavy,AutoLiab,3 - Extra Heavy,5,1106505,0.005038
69,AutoLiab 3 - Extra Heavy,AutoLiab,3 - Extra Heavy,6,2978156,0.001255
69,AutoLiab 3 - Extra Heavy,AutoLiab,3 - Extra Heavy,7,7505500,0.000372
69,AutoLiab 3 - Extra Heavy,AutoLiab,3 - Extra Heavy,8,20832290,0.000125
69,AutoLiab 3 - Extra Heavy,AutoLiab,3 - Extra Heavy,9,100000000,0.000031
69,AutoLiab 3 - Extra Heavy,AutoLiab,3 - Extra Heavy,10,100000000,0
69,AutoLiab 3 - Extra Heavy,AutoLiab,3 - Extra Heavy,11,100000000,0
69,AutoLiab 3 - Extra Heavy,AutoLiab,3 - Extra Heavy,12,100000000,0
70,AutoLiab 3 - All Other,AutoLiab,3 - All Other,1,2733,0.727677
70,AutoLiab 3 - All Other,AutoLiab,3 - All Other,2,12113,0.181926
70,AutoLiab 3 - All Other,AutoLiab,3 - All Other,3,43919,0.065555
70,AutoLiab 3 - All Other,AutoLiab,3 - All Other,4,183243,0.013994
70,AutoLiab 3 - All Other,AutoLiab,3 - All Other,5,433919,0.007781
70,AutoLiab 3 - All Other,AutoLiab,3 - All Other,6,1102439,0.002126
70,AutoLiab 3 - All Other,AutoLiab,3 - All Other,7,2639388,0.000628
70,AutoLiab 3 - All Other,AutoLiab,3 - All Other,8,5508934,0.000151
70,AutoLiab 3 - All Other,AutoLiab,3 - All Other,9,8697826,0.000094
70,AutoLiab 3 - All Other,AutoLiab,3 - All Other,10,21254340,0.000054
70,AutoLiab 3 - All Other,AutoLiab,3 - All Other,11,100000000,0.000014
70,AutoLiab 3 - All Other,AutoLiab,3 - All Other,12,100000000,0
71,AutoLiab 4 - Light & Medium,AutoLiab,4 - Light & Medium,1,3008,0.718798
71,AutoLiab 4 - Light & Medium,AutoLiab,4 - Light & Medium,2,13012,0.182736
71,AutoLiab 4 - Light & Medium,AutoLiab,4 - Light & Medium,3,28729,0.062717
71,AutoLiab 4 - Light & Medium,AutoLiab,4 - Light & Medium,4,112003,0.020843
71,AutoLiab 4 - Light & Medium,AutoLiab,4 - Light & Medium,5,415086,0.011475
71,AutoLiab 4 - Light & Medium,AutoLiab,4 - Light & Medium,6,1190761,0.002499
71,AutoLiab 4 - Light & Medium,AutoLiab,4 - Light & Medium,7,3076088,0.000652
71,AutoLiab 4 - Light & Medium,AutoLiab,4 - Light & Medium,8,7612371,0.000199
71,AutoLiab 4 - Light & Medium,AutoLiab,4 - Light & Medium,9,21075133,0.000065
71,AutoLiab 4 - Light & Medium,AutoLiab,4 - Light & Medium,10,100000000,0.000016
71,AutoLiab 4 - Light & Medium,AutoLiab,4 - Light & Medium,11,100000000,0
71,AutoLiab 4 - Light & Medium,AutoLiab,4 - Light & Medium,12,100000000,0
72,AutoLiab 4 - Heavy,AutoLiab,4 - Heavy,1,3310,0.733204
72,AutoLiab 4 - Heavy,AutoLiab,4 - Heavy,2,16111,0.203839
72,AutoLiab 4 - Heavy,AutoLiab,4 - Heavy,3,77602,0.037832
72,AutoLiab 4 - Heavy,AutoLiab,4 - Heavy,4,415307,0.019598
72,AutoLiab 4 - Heavy,AutoLiab,4 - Heavy,5,1261504,0.004059
72,AutoLiab 4 - Heavy,AutoLiab,4 - Heavy,6,3337367,0.001003
72,AutoLiab 4 - Heavy,AutoLiab,4 - Heavy,7,7915441,0.000315
72,AutoLiab 4 - Heavy,AutoLiab,4 - Heavy,8,20983369,0.000119
72,AutoLiab 4 - Heavy,AutoLiab,4 - Heavy,9,100000000,0.000031
72,AutoLiab 4 - Heavy,AutoLiab,4 - Heavy,10,100000000,0
72,AutoLiab 4 - Heavy,AutoLiab,4 - Heavy,11,100000000,0
72,AutoLiab 4 - Heavy,AutoLiab,4 - Heavy,12,100000000,0
73,AutoLiab 4 - Extra Heavy,AutoLiab,4 - Extra Heavy,1,3379,0.657704
73,AutoLiab 4 - Extra Heavy,AutoLiab,4 - Extra Heavy,2,16933,0.247614
73,AutoLiab 4 - Extra Heavy,AutoLiab,4 - Extra Heavy,3,72743,0.060739
73,AutoLiab 4 - Extra Heavy,AutoLiab,4 - Extra Heavy,4,458035,0.026038
73,AutoLiab 4 - Extra Heavy,AutoLiab,4 - Extra Heavy,5,1370977,0.005707
73,AutoLiab 4 - Extra Heavy,AutoLiab,4 - Extra Heavy,6,3562766,0.001447
73,AutoLiab 4 - Extra Heavy,AutoLiab,4 - Extra Heavy,7,8012823,0.000485
73,AutoLiab 4 - Extra Heavy,AutoLiab,4 - Extra Heavy,8,20668063,0.000209
73,AutoLiab 4 - Extra Heavy,AutoLiab,4 - Extra Heavy,9,100000000,0.000057
73,AutoLiab 4 - Extra Heavy,AutoLiab,4 - Extra Heavy,10,100000000,0
73,AutoLiab 4 - Extra Heavy,AutoLiab,4 - Extra Heavy,11,100000000,0
73,AutoLiab 4 - Extra Heavy,AutoLiab,4 - Extra Heavy,12,100000000,0
74,AutoLiab 4 - All Other,AutoLiab,4 - All Other,1,2637,0.699532
74,AutoLiab 4 - All Other,AutoLiab,4 - All Other,2,12726,0.222703
74,AutoLiab 4 - All Other,AutoLiab,4 - All Other,3,51414,0.056717
74,AutoLiab 4 - All Other,AutoLiab,4 - All Other,4,376893,0.016565
74,AutoLiab 4 - All Other,AutoLiab,4 - All Other,5,1138374,0.003331
74,AutoLiab 4 - All Other,AutoLiab,4 - All Other,6,3045785,0.000817
74,AutoLiab 4 - All Other,AutoLiab,4 - All Other,7,7647205,0.000238
74,AutoLiab 4 - All Other,AutoLiab,4 - All Other,8,21131918,0.000078
74,AutoLiab 4 - All Other,AutoLiab,4 - All Other,9,100000000,0.000019
74,AutoLiab 4 - All Other,AutoLiab,4 - All Other,10,100000000,0
74,AutoLiab 4 - All Other,AutoLiab,4 - All Other,11,100000000,0
74,AutoLiab 4 - All Other,AutoLiab,4 - All Other,12,100000000,0
75,AutoLiab 5 - Light & Medium,AutoLiab,5 - Light & Medium,1,3054,0.683737
75,AutoLiab 5 - Light & Medium,AutoLiab,5 - Light & Medium,2,17037,0.205047
75,AutoLiab 5 - Light & Medium,AutoLiab,5 - Light & Medium,3,46801,0.053093
75,AutoLiab 5 - Light & Medium,AutoLiab,5 - Light & Medium,4,128544,0.037568
75,AutoLiab 5 - Light & Medium,AutoLiab,5 - Light & Medium,5,486883,0.015847
75,AutoLiab 5 - Light & Medium,AutoLiab,5 - Light & Medium,6,1404048,0.003437
75,AutoLiab 5 - Light & Medium,AutoLiab,5 - Light & Medium,7,3600224,0.000867
75,AutoLiab 5 - Light & Medium,AutoLiab,5 - Light & Medium,8,8319819,0.000273
75,AutoLiab 5 - Light & Medium,AutoLiab,5 - Light & Medium,9,21536248,0.000104
75,AutoLiab 5 - Light & Medium,AutoLiab,5 - Light & Medium,10,100000000,0.000027
75,AutoLiab 5 - Light & Medium,AutoLiab,5 - Light & Medium,11,100000000,0
75,AutoLiab 5 - Light & Medium,AutoLiab,5 - Light & Medium,12,100000000,0
76,AutoLiab 5 - Heavy,AutoLiab,5 - Heavy,1,3676,0.735497
76,AutoLiab 5 - Heavy,AutoLiab,5 - Heavy,2,26182,0.181328
76,AutoLiab 5 - Heavy,AutoLiab,5 - Heavy,3,96370,0.049657
76,AutoLiab 5 - Heavy,AutoLiab,5 - Heavy,4,436510,0.025569
76,AutoLiab 5 - Heavy,AutoLiab,5 - Heavy,5,1257269,0.00571
76,AutoLiab 5 - Heavy,AutoLiab,5 - Heavy,6,3210284,0.001517
76,AutoLiab 5 - Heavy,AutoLiab,5 - Heavy,7,7660592,0.000496
76,AutoLiab 5 - Heavy,AutoLiab,5 - Heavy,8,20798864,0.00018
76,AutoLiab 5 - Heavy,AutoLiab,5 - Heavy,9,100000000,0.000046
76,AutoLiab 5 - Heavy,AutoLiab,5 - Heavy,10,100000000,0
76,AutoLiab 5 - Heavy,AutoLiab,5 - Heavy,11,100000000,0
76,AutoLiab 5 - Heavy,AutoLiab,5 - Heavy,12,100000000,0
77,AutoLiab 5 - Extra Heavy,AutoLiab,5 - Extra Heavy,1,4186,0.640616
77,AutoLiab 5 - Extra Heavy,AutoLiab,5 - Extra Heavy,2,20450,0.23328
77,AutoLiab 5 - Extra Heavy,AutoLiab,5 - Extra Heavy,3,80932,0.068911
77,AutoLiab 5 - Extra Heavy,AutoLiab,5 - Extra Heavy,4,470029,0.044323
77,AutoLiab 5 - Extra Heavy,AutoLiab,5 - Extra Heavy,5,1407701,0.009412
77,AutoLiab 5 - Extra Heavy,AutoLiab,5 - Extra Heavy,6,3689262,0.002327
77,AutoLiab 5 - Extra Heavy,AutoLiab,5 - Extra Heavy,7,8365644,0.000736
77,AutoLiab 5 - Extra Heavy,AutoLiab,5 - Extra Heavy,8,21203223,0.000311
77,AutoLiab 5 - Extra Heavy,AutoLiab,5 - Extra Heavy,9,100000000,0.000084
77,AutoLiab 5 - Extra Heavy,AutoLiab,5 - Extra Heavy,10,100000000,0
77,AutoLiab 5 - Extra Heavy,AutoLiab,5 - Extra Heavy,11,100000000,0
77,AutoLiab 5 - Extra Heavy,AutoLiab,5 - Extra Heavy,12,100000000,0
78,AutoLiab 5 - All Other,AutoLiab,5 - All Other,1,2872,0.655275
78,AutoLiab 5 - All Other,AutoLiab,5 - All Other,2,17795,0.225056
78,AutoLiab 5 - All Other,AutoLiab,5 - All Other,3,61142,0.076679
78,AutoLiab 5 - All Other,AutoLiab,5 - All Other,4,353788,0.033211
78,AutoLiab 5 - All Other,AutoLiab,5 - All Other,5,1026778,0.007192
78,AutoLiab 5 - All Other,AutoLiab,5 - All Other,6,2732508,0.001855
78,AutoLiab 5 - All Other,AutoLiab,5 - All Other,7,7072714,0.000531
78,AutoLiab 5 - All Other,AutoLiab,5 - All Other,8,20176853,0.000163
78,AutoLiab 5 - All Other,AutoLiab,5 - All Other,9,96960821,0.000038
78,AutoLiab 5 - All Other,AutoLiab,5 - All Other,10,100000000,0
78,AutoLiab 5 - All Other,AutoLiab,5 - All Other,11,100000000,0
78,AutoLiab 5 - All Other,AutoLiab,5 - All Other,12,100000000,0
79,AutoLiab 6 - Light & Medium,AutoLiab,6 - Light & Medium,1,2345,0.65848
79,AutoLiab 6 - Light & Medium,AutoLiab,6 - Light & Medium,2,13762,0.218719
79,AutoLiab 6 - Light & Medium,AutoLiab,6 - Light & Medium,3,50542,0.063865
79,AutoLiab 6 - Light & Medium,AutoLiab,6 - Light & Medium,4,256305,0.035929
79,AutoLiab 6 - Light & Medium,AutoLiab,6 - Light & Medium,5,461946,0.012916
79,AutoLiab 6 - Light & Medium,AutoLiab,6 - Light & Medium,6,885240,0.006344
79,AutoLiab 6 - Light & Medium,AutoLiab,6 - Light & Medium,7,1816949,0.002396
79,AutoLiab 6 - Light & Medium,AutoLiab,6 - Light & Medium,8,3802843,0.000884
79,AutoLiab 6 - Light & Medium,AutoLiab,6 - Light & Medium,9,8408842,0.000328
79,AutoLiab 6 - Light & Medium,AutoLiab,6 - Light & Medium,10,22057854,0.000113
79,AutoLiab 6 - Light & Medium,AutoLiab,6 - Light & Medium,11,99510685,0.000026
79,AutoLiab 6 - Light & Medium,AutoLiab,6 - Light & Medium,12,100000000,0
80,AutoLiab 6 - Heavy,AutoLiab,6 - Heavy,1,2751,0.693287
80,AutoLiab 6 - Heavy,AutoLiab,6 - Heavy,2,13950,0.17635
80,AutoLiab 6 - Heavy,AutoLiab,6 - Heavy,3,35363,0.062841
80,AutoLiab 6 - Heavy,AutoLiab,6 - Heavy,4,309926,0.055307
80,AutoLiab 6 - Heavy,AutoLiab,6 - Heavy,5,1034593,0.009349
80,AutoLiab 6 - Heavy,AutoLiab,6 - Heavy,6,2952000,0.002082
80,AutoLiab 6 - Heavy,AutoLiab,6 - Heavy,7,7671822,0.000559
80,AutoLiab 6 - Heavy,AutoLiab,6 - Heavy,8,21192502,0.000181
80,AutoLiab 6 - Heavy,AutoLiab,6 - Heavy,9,100000000,0.000044
80,AutoLiab 6 - Heavy,AutoLiab,6 - Heavy,10,100000000,0
80,AutoLiab 6 - Heavy,AutoLiab,6 - Heavy,11,100000000,0
80,AutoLiab 6 - Heavy,AutoLiab,6 - Heavy,12,100000000,0
81,AutoLiab 6 - Extra Heavy,AutoLiab,6 - Extra Heavy,1,1852,0.093907
81,AutoLiab 6 - Extra Heavy,AutoLiab,6 - Extra Heavy,2,3409,0.514613
81,AutoLiab 6 - Extra Heavy,AutoLiab,6 - Extra Heavy,3,18292,0.253246
81,AutoLiab 6 - Extra Heavy,AutoLiab,6 - Extra Heavy,4,84533,0.089657
81,AutoLiab 6 - Extra Heavy,AutoLiab,6 - Extra Heavy,5,567029,0.039493
81,AutoLiab 6 - Extra Heavy,AutoLiab,6 - Extra Heavy,6,1922406,0.006982
81,AutoLiab 6 - Extra Heavy,AutoLiab,6 - Extra Heavy,7,5757150,0.001586
81,AutoLiab 6 - Extra Heavy,AutoLiab,6 - Extra Heavy,8,17751814,0.00042
81,AutoLiab 6 - Extra Heavy,AutoLiab,6 - Extra Heavy,9,66471678,0.000032
81,AutoLiab 6 - Extra Heavy,AutoLiab,6 - Extra Heavy,10,100000000,0.000064
81,AutoLiab 6 - Extra Heavy,AutoLiab,6 - Extra Heavy,11,100000000,0
81,AutoLiab 6 - Extra Heavy,AutoLiab,6 - Extra Heavy,12,100000000,0
82,AutoLiab 6 - All Other,AutoLiab,6 - All Other,1,1927,0.638602
82,AutoLiab 6 - All Other,AutoLiab,6 - All Other,2,12104,0.239212
82,AutoLiab 6 - All Other,AutoLiab,6 - All Other,3,66423,0.08397
82,AutoLiab 6 - All Other,AutoLiab,6 - All Other,4,367362,0.03046
82,AutoLiab 6 - All Other,AutoLiab,6 - All Other,5,1112516,0.005855
82,AutoLiab 6 - All Other,AutoLiab,6 - All Other,6,3003510,0.00138
82,AutoLiab 6 - All Other,AutoLiab,6 - All Other,7,7685730,0.00038
82,AutoLiab 6 - All Other,AutoLiab,6 - All Other,8,21456616,0.000115
82,AutoLiab 6 - All Other,AutoLiab,6 - All Other,9,100000000,0.000026
82,AutoLiab 6 - All Other,AutoLiab,6 - All Other,10,100000000,0
82,AutoLiab 6 - All Other,AutoLiab,6 - All Other,11,100000000,0
82,AutoLiab 6 - All Other,AutoLiab,6 - All Other,12,100000000,0
83,AutoLiab CA - Light & Medium,AutoLiab,CA - Light & Medium,1,3528,0.682009
83,AutoLiab CA - Light & Medium,AutoLiab,CA - Light & Medium,2,15925,0.269942
83,AutoLiab CA - Light & Medium,AutoLiab,CA - Light & Medium,3,76754,0.033787
83,AutoLiab CA - Light & Medium,AutoLiab,CA - Light & Medium,4,498148,0.011537
83,AutoLiab CA - Light & Medium,AutoLiab,CA - Light & Medium,5,1500697,0.002101
83,AutoLiab CA - Light & Medium,AutoLiab,CA - Light & Medium,6,4044924,0.000457
83,AutoLiab CA - Light & Medium,AutoLiab,CA - Light & Medium,7,9669868,0.000116
83,AutoLiab CA - Light & Medium,AutoLiab,CA - Light & Medium,8,23630185,0.000041
83,AutoLiab CA - Light & Medium,AutoLiab,CA - Light & Medium,9,100000000,0.00001
83,AutoLiab CA - Light & Medium,AutoLiab,CA - Light & Medium,10,100000000,0
83,AutoLiab CA - Light & Medium,AutoLiab,CA - Light & Medium,11,100000000,0
83,AutoLiab CA - Light & Medium,AutoLiab,CA - Light & Medium,12,100000000,0
84,AutoLiab CA - Heavy,AutoLiab,CA - Heavy,1,4098,0.736141
84,AutoLiab CA - Heavy,AutoLiab,CA - Heavy,2,18554,0.223029
84,AutoLiab CA - Heavy,AutoLiab,CA - Heavy,3,97947,0.025561
84,AutoLiab CA - Heavy,AutoLiab,CA - Heavy,4,559567,0.012107
84,AutoLiab CA - Heavy,AutoLiab,CA - Heavy,5,1709755,0.002378
84,AutoLiab CA - Heavy,AutoLiab,CA - Heavy,6,4655952,0.000558
84,AutoLiab CA - Heavy,AutoLiab,CA - Heavy,7,10766375,0.000138
84,AutoLiab CA - Heavy,AutoLiab,CA - Heavy,8,23298410,0.000067
84,AutoLiab CA - Heavy,AutoLiab,CA - Heavy,9,100000000,0.000021
84,AutoLiab CA - Heavy,AutoLiab,CA - Heavy,10,100000000,0
84,AutoLiab CA - Heavy,AutoLiab,CA - Heavy,11,100000000,0
84,AutoLiab CA - Heavy,AutoLiab,CA - Heavy,12,100000000,0
85,AutoLiab CA - Extra Heavy,AutoLiab,CA - Extra Heavy,1,5416,0.757429
85,AutoLiab CA - Extra Heavy,AutoLiab,CA - Extra Heavy,2,27959,0.202929
85,AutoLiab CA - Extra Heavy,AutoLiab,CA - Extra Heavy,3,412793,0.032243
85,AutoLiab CA - Extra Heavy,AutoLiab,CA - Extra Heavy,4,1384145,0.005711
85,AutoLiab CA - Extra Heavy,AutoLiab,CA - Extra Heavy,5,4040166,0.001216
85,AutoLiab CA - Extra Heavy,AutoLiab,CA - Extra Heavy,6,9742206,0.0003
85,AutoLiab CA - Extra Heavy,AutoLiab,CA - Extra Heavy,7,22566540,0.000132
85,AutoLiab CA - Extra Heavy,AutoLiab,CA - Extra Heavy,8,100000000,0.00004
85,AutoLiab CA - Extra Heavy,AutoLiab,CA - Extra Heavy,9,100000000,0
85,AutoLiab CA - Extra Heavy,AutoLiab,CA - Extra Heavy,10,100000000,0
85,AutoLiab CA - Extra Heavy,AutoLiab,CA - Extra Heavy,11,100000000,0
85,AutoLiab CA - Extra Heavy,AutoLiab,CA - Extra Heavy,12,100000000,0
86,AutoLiab CA - All Other,AutoLiab,CA - All Other,1,3221,0.639166
86,AutoLiab CA - All Other,AutoLiab,CA - All Other,2,14735,0.292423
86,AutoLiab CA - All Other,AutoLiab,CA - All Other,3,69821,0.049554
86,AutoLiab CA - All Other,AutoLiab,CA - All Other,4,510715,0.015784
86,AutoLiab CA - All Other,AutoLiab,CA - All Other,5,1672603,0.002446
86,AutoLiab CA - All Other,AutoLiab,CA - All Other,6,4847067,0.000483
86,AutoLiab CA - All Other,AutoLiab,CA - All Other,7,12925767,0.000104
86,AutoLiab CA - All Other,AutoLiab,CA - All Other,8,28878518,0.000028
86,AutoLiab CA - All Other,AutoLiab,CA - All Other,9,100000000,0.000012
86,AutoLiab CA - All Other,AutoLiab,CA - All Other,10,100000000,0
86,AutoLiab CA - All Other,AutoLiab,CA - All Other,11,100000000,0
86,AutoLiab CA - All Other,AutoLiab,CA - All Other,12,100000000,0
87,AutoLiab NY - Light & Medium,AutoLiab,NY - Light & Medium,1,3191,0.802083
87,AutoLiab NY - Light & Medium,AutoLiab,NY - Light & Medium,2,14989,0.121788
87,AutoLiab NY - Light & Medium,AutoLiab,NY - Light & Medium,3,55015,0.053317
87,AutoLiab NY - Light & Medium,AutoLiab,NY - Light & Medium,4,297917,0.018353
87,AutoLiab NY - Light & Medium,AutoLiab,NY - Light & Medium,5,918174,0.003384
87,AutoLiab NY - Light & Medium,AutoLiab,NY - Light & Medium,6,2542758,0.000794
87,AutoLiab NY - Light & Medium,AutoLiab,NY - Light & Medium,7,6754467,0.000208
87,AutoLiab NY - Light & Medium,AutoLiab,NY - Light & Medium,8,19431757,0.00006
87,AutoLiab NY - Light & Medium,AutoLiab,NY - Light & Medium,9,92375604,0.000013
87,AutoLiab NY - Light & Medium,AutoLiab,NY - Light & Medium,10,100000000,0
87,AutoLiab NY - Light & Medium,AutoLiab,NY - Light & Medium,11,100000000,0
87,AutoLiab NY - Light & Medium,AutoLiab,NY - Light & Medium,12,100000000,0
88,AutoLiab NY - Heavy,AutoLiab,NY - Heavy,1,3614,0.818319
88,AutoLiab NY - Heavy,AutoLiab,NY - Heavy,2,25796,0.13672
88,AutoLiab NY - Heavy,AutoLiab,NY - Heavy,3,151419,0.036685
88,AutoLiab NY - Heavy,AutoLiab,NY - Heavy,4,755929,0.006725
88,AutoLiab NY - Heavy,AutoLiab,NY - Heavy,5,2548332,0.001193
88,AutoLiab NY - Heavy,AutoLiab,NY - Heavy,6,7387376,0.000262
88,AutoLiab NY - Heavy,AutoLiab,NY - Heavy,7,21088379,0.000077
88,AutoLiab NY - Heavy,AutoLiab,NY - Heavy,8,100000000,0.000019
88,AutoLiab NY - Heavy,AutoLiab,NY - Heavy,9,100000000,0
88,AutoLiab NY - Heavy,AutoLiab,NY - Heavy,10,100000000,0
88,AutoLiab NY - Heavy,AutoLiab,NY - Heavy,11,100000000,0
88,AutoLiab NY - Heavy,AutoLiab,NY - Heavy,12,100000000,0
89,AutoLiab NY - Extra Heavy,AutoLiab,NY - Extra Heavy,1,3924,0.76972
89,AutoLiab NY - Extra Heavy,AutoLiab,NY - Extra Heavy,2,14972,0.109916
89,AutoLiab NY - Extra Heavy,AutoLiab,NY - Extra Heavy,3,57449,0.089828
89,AutoLiab NY - Extra Heavy,AutoLiab,NY - Extra Heavy,4,413270,0.024497
89,AutoLiab NY - Extra Heavy,AutoLiab,NY - Extra Heavy,5,1347498,0.004588
89,AutoLiab NY - Extra Heavy,AutoLiab,NY - Extra Heavy,6,3809039,0.001019
89,AutoLiab NY - Extra Heavy,AutoLiab,NY - Extra Heavy,7,8965967,0.000278
89,AutoLiab NY - Extra Heavy,AutoLiab,NY - Extra Heavy,8,21791327,0.00012
89,AutoLiab NY - Extra Heavy,AutoLiab,NY - Extra Heavy,9,100000000,0.000034
89,AutoLiab NY - Extra Heavy,AutoLiab,NY - Extra Heavy,10,100000000,0
89,AutoLiab NY - Extra Heavy,AutoLiab,NY - Extra Heavy,11,100000000,0
89,AutoLiab NY - Extra Heavy,AutoLiab,NY - Extra Heavy,12,100000000,0
90,AutoLiab NY - All Other,AutoLiab,NY - All Other,1,2869,0.77681
90,AutoLiab NY - All Other,AutoLiab,NY - All Other,2,15694,0.146859
90,AutoLiab NY - All Other,AutoLiab,NY - All Other,3,51683,0.036862
90,AutoLiab NY - All Other,AutoLiab,NY - All Other,4,115342,0.021598
90,AutoLiab NY - All Other,AutoLiab,NY - All Other,5,334699,0.013038
90,AutoLiab NY - All Other,AutoLiab,NY - All Other,6,865523,0.00333
90,AutoLiab NY - All Other,AutoLiab,NY - All Other,7,2023151,0.000956
90,AutoLiab NY - All Other,AutoLiab,NY - All Other,8,4078470,0.000309
90,AutoLiab NY - All Other,AutoLiab,NY - All Other,9,8111941,0.000157
90,AutoLiab NY - All Other,AutoLiab,NY - All Other,10,21102806,0.000065
90,AutoLiab NY - All Other,AutoLiab,NY - All Other,11,100000000,0.000016
90,AutoLiab NY - All Other,AutoLiab,NY - All Other,12,100000000,0
91,AutoPD All,AutoPD,All,1,3.233083996,0.010308914
91,AutoPD All,AutoPD,All,2,330.270238,0.052913533
91,AutoPD All,AutoPD,All,3,1788.098591,0.328306708
91,AutoPD All,AutoPD,All,4,6046.540941,0.49366017
91,AutoPD All,AutoPD,All,5,35714.4634,0.114810675
91,AutoPD All,AutoPD,All,6,100000000,0
91,AutoPD All,AutoPD,All,7,100000000,0
91,AutoPD All,AutoPD,All,8,100000000,0
91,AutoPD All,AutoPD,All,9,100000000,0
91,AutoPD All,AutoPD,All,10,100000000,0
91,AutoPD All,AutoPD,All,11,100000000,0
91,AutoPD All,AutoPD,All,12,100000000,0
